# 回测结果（按收益率排序）
===========================================

## 排序后的回测结果
162. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma10, 盈利: 18726.00, 收益率: 18.73%
163. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.65, 均线: ma5, 盈利: 18706.00, 收益率: 18.71%
164. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma5, 盈利: 18706.00, 收益率: 18.71%
165. 板块: 四川板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma5, 盈利: 18713.00, 收益率: 18.71%
166. 板块: 四川板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma10, 盈利: 18707.00, 收益率: 18.71%
167. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma10, 盈利: 18691.00, 收益率: 18.69%
168. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.8, 均线: ma60, 盈利: 18686.00, 收益率: 18.69%
169. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma45, 盈利: 18680.00, 收益率: 18.68%
170. 板块: 浙江板块, 止盈率: 1.35, 止损率: 0.85, 均线: ma10, 盈利: 18657.00, 收益率: 18.66%
171. 板块: 四川板块, 止盈率: 1.4, 止损率: 0.9, 均线: ma5, 盈利: 18628.00, 收益率: 18.63%
172. 板块: 浙江板块, 止盈率: 1.1, 止损率: 0.9, 均线: ma5, 盈利: 18617.00, 收益率: 18.62%
173. 板块: 浙江板块, 止盈率: 1.1, 止损率: 0.8, 均线: ma45, 盈利: 18620.00, 收益率: 18.62%
174. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma5, 盈利: 18616.00, 收益率: 18.62%
175. 板块: 四川板块, 止盈率: 1.4, 止损率: 0.9, 均线: ma10, 盈利: 18622.00, 收益率: 18.62%
176. 板块: 江苏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma5, 盈利: 18605.00, 收益率: 18.61%
177. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma45, 盈利: 18597.00, 收益率: 18.60%
178. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma60, 盈利: 18596.00, 收益率: 18.60%
179. 板块: 浙江板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma10, 盈利: 18594.00, 收益率: 18.59%
180. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma5, 盈利: 18567.00, 收益率: 18.57%
181. 板块: 山东板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma30, 盈利: 18568.00, 收益率: 18.57%
182. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.8, 均线: ma45, 盈利: 18547.00, 收益率: 18.55%
183. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma45, 盈利: 18534.00, 收益率: 18.53%
184. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.75, 均线: ma10, 盈利: 18509.00, 收益率: 18.51%
